"X_uuid","region","district","settlement","X_observation_gps_longitude","X_observation_gps_latitude"
"99b1fff4-1c89-4375-94ce-788bcd0c72c0","Bakool","Ceel Barde","NB-3814-E04-003","43.65784999999999","4.824075000000001"
"6bca4086-f359-4d3a-888f-f6a851bdb0c2","Bakool","Ceel Barde","NB-3814-E04-003","43.657311666666665","4.824255000000001"
"ec1233c3-349b-4d6c-aa2a-69f92d2c6ca0","Bakool","Ceel Barde","NB-3814-E04-003","43.65712166666667","4.82271"
"3ae8a9af-c0ca-4331-8508-a0ca2b4d0a07","Bakool","Ceel Barde","NB-3814-E04-003","43.657518333333336","4.8248750000000005"
"3cbe6517-180d-4757-b07c-2be10b1380c6","Bakool","Ceel Barde","NB-3814-E04-003","43.65837166666667","4.824621666666667"
"bec67ff2-9ec4-40a2-9e8e-047e51e89774","Bakool","Ceel Barde","NB-3814-E04-003","43.65791665390134","4.823699737899005"
"0d433183-090b-444a-bff3-8ab693d53dc1","Bakool","Ceel Barde","NB-3814-E04-003","43.65861360915005","4.82524330727756"
"ba85a549-ad42-4113-9645-dcef39b9fac3","Bakool","Ceel Barde","NB-3814-E04-003","43.65878887474537","4.825865034945309"
"80188e72-5400-4b08-917e-feeb054d05fb","Bakool","Ceel Barde","NB-3814-E04-003","43.65906581282616","4.824572252109647"
"6f0a14d6-61f7-45e2-bc0d-ad043d14eed7","Bakool","Ceel Barde","NB-3814-E04-003","43.65781833333334","4.82428"
"363e6330-ac04-42dc-9226-a419ab4830ad","Bakool","Ceel Barde","NB-3814-E04-003","43.658249999999995","4.824666666666667"
"f08e09d5-d1c6-4e73-a9de-33e7bf98091d","Bakool","Ceel Barde","NB-3814-E04-003","43.658265","4.82521"
"41e27baf-15a9-4594-87b0-501c1b3e3ed4","Bakool","Ceel Barde","NB-3814-E04-003","43.65892999999999","4.824235"
"5b09b3d7-c611-4f6b-b290-a96a88c0bbf8","Gedo","Belet Xaawo","NA-3704-F31-001","41.8853674892845","3.9166122192538535"
"d92eaabf-c4f6-4615-b5a1-a6abe43fa64e","Gedo","Belet Xaawo","NA-3704-F31-001","41.88561706764257","3.917253595046044"
"1d2f1cd4-fb11-42df-8e69-185239ceae48","Gedo","Belet Xaawo","NA-3704-F31-001","41.88671277347427","3.9167892936222217"
"a079a454-9fb8-4fc2-a8a4-bae34a68dff8","Gedo","Belet Xaawo","NA-3704-F31-001","41.88542786602168","3.9170014609569233"
"2d346268-20e5-44a7-a8ff-67e19b339075","Gedo","Belet Xaawo","NA-3704-F31-001","41.88484365307751","3.917748377882789"
"9364b05e-bfa7-4fdd-af17-e54095c91940","Gedo","Belet Xaawo","NA-3704-F31-001","41.88800600732975","3.9208547235436324"
"eddb9909-5db5-4ed9-9548-342e15d7c57f","Gedo","Belet Xaawo","NA-3704-F31-001","41.887997335219076","3.9209555178995004"
"c49d7877-c090-44da-a339-fffaba47459d","Gedo","Belet Xaawo","NA-3704-F31-001","41.88793995423995","3.9209152937752307"
"dabd0c66-d6dc-4843-8830-27c543c40101","Gedo","Belet Xaawo","NA-3704-F31-001","41.887898076706776","3.9208889911610956"
"f9003117-c0d8-4c41-b3f8-e1e62236a5e3","Gedo","Belet Xaawo","NA-3704-F31-001","41.888116268256525","3.920931185552321"
"0f55718a-a87b-4df3-bc36-cc5ec31c4ad5","Gedo","Belet Xaawo","NA-3704-F31-001","41.87626460870181","3.9244890588265395"
"55eb4fdc-6299-44b0-b70f-cb0a36d4a2d9","Gedo","Belet Xaawo","NA-3704-F31-001","41.89606366372553","3.9597648121482454"
